 Semi-Major Axis ; Eccentricity ; Inclination ; Argument of the pergiee ; Right Ascension of the Ascending node
6880590.93441203;0.020088047185505744;1.6405993113395945;1.0919166569784622;1.0919166569784622
6880527.79993177;0.023341025995524806;1.6405991656948353;1.0928367555230976;1.0928367555230976
6879493.364119551;0.02004756658561315;1.6406052882033553;1.0937671380353917;1.0937671380353917
6879631.857818913;0.023341794401177122;1.640603911286249;1.0946846824972456;1.0946846824972456
6878987.462337591;0.02014582232664551;1.640608430150042;1.095618663488568;1.095618663488568
6879178.3186845975;0.023235160146752334;1.6406063497601422;1.0965335098727655;1.0965335098727655
6879087.099614382;0.02036446147341486;1.6406085769758878;1.09747046775404;1.09747046775404
6879188.178189292;0.02302960563380172;1.6406063307537813;1.0983827131058208;1.0983827131058208
6879762.129320634;0.02066840752426773;1.640605765884851;1.0993217819409407;1.0993217819409407
6879659.561098654;0.022743903352256182;1.640603822572243;1.1002317418504537;1.1002317418504537
6880945.042345008;0.02101367406564407;1.6406002213044948;1.1011718861148694;1.1011718861148694
6880569.461990185;0.022405511765028436;1.6405989172809419;1.1020800448328145;1.1020800448328145
6882540.732964221;0.021355550571446065;1.6405923314009279;1.103020154846136;1.103020154846136
6881876.465697103;0.022048053567008882;1.640591831052481;1.1039270959562446;1.1039270959562446
6884437.4206772335;0.021655091959096883;1.6405826144488564;1.1048660928400884;1.1048660928400884
6883523.487607731;0.021708017390231833;1.64058289931595;1.105772420976297;1.105772420976297
6886516.735879913;0.021883096984506707;1.6405716788243332;1.1067093587947503;1.1067093587947503
6885439.661799505;0.021420805844144682;1.6405725662265176;1.107615623916642;1.107615623916642
6888661.507762404;0.02202181225984181;1.640560180467584;1.1085497770033155;1.1085497770033155
6887540.997496059;0.021216279677003177;1.640561368014115;1.1094564121307713;1.1094564121307713
6890760.714405207;0.022065102748501788;1.6405487812811586;1.110387337419167;1.110387337419167
6889730.187609824;0.02111415768939374;1.6405499099478456;1.1112946185814834;1.1112946185814834
6892712.03232548;0.02201783357943642;1.6405381112201751;1.112222185788758;1.112222185788758
6891896.705002129;0.02112003672253423;1.6405388370180942;1.1131302195784707;1.1131302195784707
6894423.101917106;0.021894897673513925;1.6405287359648144;1.114054605967738;1.114054605967738
6893918.732140511;0.02122315162791177;1.6405287990077642;1.1149633459810302;1.1149633459810302
6895812.783065011;0.021719901029400333;1.640521131205352;1.1158849966797213;1.1158849966797213
6895668.2971588075;0.02139691506828022;1.6405204113658092;1.116794285847071;1.116794285847071
6896813.305351883;0.0215231778620398;1.6405156638465805;1.1177138448294925;1.1177138448294925
6897020.199627385;0.021602599157661325;1.6405142141233997;1.1186234767879328;1.1186234767879328
6897373.5182000045;0.021338723058982535;1.6405125799256808;1.1195416971547218;1.1195416971547218
6897864.115343798;0.021795548484396507;1.640510631869641;1.1204514869278857;1.1204514869278857
6897462.723816871;0.021199900941709135;1.6405119987488455;1.1213691316102545;1.1213691316102545
6898118.068174761;0.021932585374032997;1.640509938364108;1.1222789843598173;1.1222789843598173
6897074.110780291;0.021134371567932818;1.6405139126494002;1.1231967295237417;1.1231967295237417
6897740.682010112;0.021979096742020213;1.6405122295444707;1.1241066962475499;1.1241066962475499
6896226.7471737815;0.02115931183043084;1.6405181917851637;1.1250250492988638;1.1250250492988638
6896739.573570935;0.021914593456280176;1.6405174083678518;1.1259353600866582;1.1259353600866582
6894965.41495413;0.021278285197447223;1.640524593450012;1.1268546022873154;1.1268546022873154
6895173.952632551;0.021736023174533117;1.6405251840613555;1.1277656708813555;1.1277656708813555
6893358.107317714;0.021480727859656473;1.640532775413364;1.1286858313812518;1.1286858313812518
6893150.720645166;0.021458556088344165;1.6405350870095132;1.1295982288928488;1.1295982288928488
6891491.547539237;0.021744099436229535;1.640542312788506;1.130519092851378;1.130519092851378
6890814.692858073;0.021113843034583846;1.640546498836506;1.1314334929686853;1.1314334929686853
6889465.438181522;0.02203784500196791;1.6405527178637607;1.1323546419266286;1.1323546419266286
6888334.61081608;0.020745880377178845;1.6405586954906224;1.1332717441604954;1.1332717441604954
6887386.234236696;0.022327956569640088;1.6405634622313916;1.1341926225460957;1.1341926225460957
6885887.1259160545;0.020404724095841684;1.6405708995830222;1.135113063381338;1.135113063381338
6885361.090862837;0.022581176697938337;1.6405740004518146;1.1360330616006753;1.1360330616006753
6883640.9166684;0.02013857332060559;1.6405823371259303;1.1369573253661756;1.1369573253661756
6883492.385040026;0.022768414508588224;1.6405837944273896;1.1378758678315832;1.1378758678315832
6881742.72708563;0.019985333868479515;1.6405922933354615;1.1388042094008342;1.1388042094008342
6881872.984401844;0.02286736127731348;1.6405923376488787;1.1397208353927428;1.1397208353927428
6880306.605878794;0.019965502416829605;1.6406001623791502;1.1406532254515904;1.1406532254515904
6880582.320214486;0.022864435426929404;1.640599178516025;1.1415676519462938;1.1415676519462938
6879407.136849146;0.020078470711843262;1.6406054868043909;1.1425037527334885;1.1425037527334885
6879683.3168597575;0.02275611532222384;1.640603941998772;1.1434159110691096;1.1434159110691096
6879077.0069965655;0.020303527495474424;1.6406079837220104;1.1443550866217194;1.1443550866217194
6879220.266270339;0.022549583325497766;1.6406063489621374;1.1452651287077182;1.1452651287077182
6879308.804278956;0.02060512351068735;1.6406075564108846;1.146206489266634;1.146206489266634
6879217.715703513;0.022262525679300985;1.640606232491071;1.1471147634095353;1.1471147634095353
6880060.426204124;0.020940434747167346;1.6406042916049728;1.148057239341993;1.148057239341993
6879680.300714369;0.021921945981186304;1.64060355050238;1.1489642400383848;1.1489642400383848
6881262.958601167;0.021266857512497017;1.6405984440986208;1.149906676959794;1.149906676959794
6880593.226301925;0.021561920225183162;1.6405983938262931;1.1508129766000725;1.1508129766000725
6882829.497803794;0.021547766234813578;1.640590411296611;1.151754240769673;1.151754240769673
6881922.892353492;0.02122029639711655;1.6405909888188852;1.1526604136131544;1.1526604136131544
6884663.3194900835;0.02175595110152624;1.6405807008620918;1.1535994954325075;1.1535994954325075
6883617.132080938;0.02093441684641456;1.64058169349355;1.154506045137828;1.154506045137828
6886664.148930324;0.02187500873215466;1.6405698946841138;1.155442148821338;1.155442148821338
6885604.799009012;0.020736090755830678;1.6405709862138924;1.1563494501354887;1.1563494501354887
6888732.006534123;0.02189937010082664;1.640558612076465;1.1572820592958497;1.1572820592958497
6887794.987595431;0.020646361020320674;1.6405594462453554;1.1581903223291;1.1581903223291
6890768.969307173;0.021833662612424885;1.640547474558832;1.159119234114452;1.159119234114452
6890076.831336;0.020671057475869503;1.6405477259655417;1.1600284962656675;1.1600284962656675
